ALT [ft],EGT_1 [deg C],EGT_2 [deg C],FMV_1 [mm],FMV_2 [mm],HPTACC_1 [%],HPTACC_2 [%],M [Mach],N1_1 [% rpm],N1_2 [% rpm],N2_1 [% rpm],N2_2 [% rpm],NAIV_1 [bool],NAIV_2 [bool],P0_1 [psia],P0_2 [psia],PRV_1 [bool],PRV_2 [bool],PS3_1 [psia],PS3_2 [psia],PT2_1 [mbar],PT2_2 [mbar],P_OIL_1 [psi],P_OIL_2 [psi],Q_1 [lb/h],Q_2 [lb/h],T1_1 [deg C],T1_2 [deg C],T2_1 [deg C],T2_2 [deg C],T3_1 [deg C],T3_2 [deg C],T5_1 [deg C],T5_2 [deg C],TAT [deg C],TBV_1 [%],TBV_2 [%],TCASE_1 [deg C],TCASE_2 [deg C],TLA_1 [deg],TLA_2 [deg],T_OIL_1 [deg C],T_OIL_2 [deg C],VBV_1 [mm],VBV_2 [mm],VIB_AN1_1 [mils],VIB_AN1_2 [mils],VIB_AN2_1 [ips],VIB_AN2_2 [ips],VIB_BN1_1 [mils],VIB_BN1_2 [mils],VIB_BN2_1 [ips],VIB_BN2_2 [ips],VSV_1 [mm],VSV_2 [mm]
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.953162208,26.467233504750002,25.34288901168,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.953162208,26.467233504750002,25.34288901168,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.953162208,26.573923128180002,25.34288901168,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.79639059503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.953162208,26.573923128180002,25.23619938825,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.953162208,26.672405857500003,25.34288901168,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.953162208,26.573923128180002,25.23619938825,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.953162208,26.573923128180002,25.23619938825,75.914534417,74.3546467235,31.476078476,31.476078476,29.7321204675,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.953162208,26.573923128180002,25.13771665893,75.914534417,74.3546467235,31.476078476,31.476078476,29.7321204675,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.467233504750002,25.13771665893,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.837087849719996,26.467233504750002,25.13771665893,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.953162208,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.837087849719996,26.467233504750002,25.13771665893,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.837087849719996,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.71134062825,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.46182846325,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.837087849719996,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.469519048499997,30.837087849719996,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.938961983000002,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.467233504750002,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,29.191536458999998,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.92124445475,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.92124445475,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.013194969,28.92124445475,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.69687000075,34.85571947925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.92124445475,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.837087849719996,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.6375411165300005,34.79639059503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.71134062825,26.467233504750002,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.6375411165300005,34.79639059503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,25.031027035500003,75.914534417,74.3546467235,31.476078476,31.013194969,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.6509524505,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.79639059503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.6375411165300005,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.11162311047,30.71134062825,26.262061152,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.38066044625,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,32.509803876,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.11162311047,30.71134062825,26.262061152,24.93254430618,75.914534417,74.3546467235,31.476078476,31.013194969,28.38066044625,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.476078476,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.227697468749998,30.71134062825,26.368750775430005,24.93254430618,75.914534417,74.3546467235,31.476078476,31.013194969,28.6509524505,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-4.636640548,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.595266269969997,26.467233504750002,24.93254430618,75.914534417,74.3546467235,31.938961983000002,31.476078476,28.6509524505,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.73706171081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.469519048499997,26.467233504750002,24.825854682750002,75.914534417,74.3546467235,31.938961983000002,31.476078476,28.6509524505,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-13.909921644,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.595266269969997,26.467233504750002,24.825854682750002,75.914534417,74.3546467235,31.938961983000002,31.476078476,28.6509524505,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-13.909921644,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.69687000075,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.469519048499997,26.467233504750002,24.825854682750002,75.914534417,74.3546467235,31.938961983000002,31.476078476,28.92124445475,0.0,0.0,75.788890935,76.2347079405,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
-9.273281096,33.494949448,33.494949448,-0.64553023024,-0.6491296767200001,4.6375411165300005,34.66784467922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21328351628,12.21328351628,0.91653956,0.91653956,15.413193474,15.413193474,961.492003332,961.492003332,0.0,0.0,0.0,0.0,30.353444690219998,30.469519048499997,26.467233504750002,24.825854682750002,75.914534417,74.3546467235,31.938961983000002,31.476078476,28.92124445475,0.0,0.0,75.788890935,75.788890935,0.0,0.0,36.803911793999994,36.270521767999995,36.252818851200004,36.252818851200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.592269510170006,56.529748129750004
